Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue USD,Event Source,Is Receipt Validated,Partner,Media Source,Channel,Keywords,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Sub Site ID,Sub Param 1,Sub Param 2,Sub Param 3,Sub Param 4,Sub Param 5,Cost Model,Cost Value,Cost Currency,Contributor 1 Partner,Contributor 1 Media Source,Contributor 1 Campaign,Contributor 1 Touch Type,Contributor 1 Touch Time,Contributor 2 Partner,Contributor 2 Media Source,Contributor 2 Campaign,Contributor 2 Touch Type,Contributor 2 Touch Time,Contributor 3 Partner,Contributor 3 Media Source,Contributor 3 Campaign,Contributor 3 Touch Type,Contributor 3 Touch Time,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL,Device Category
,,2023-03-05 21:28:00,2023-03-05 21:28:00,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,AC,Neusu Aceh,23244,360020,182.3.9.169,False,TELKOMSEL,Tsel-PakaiMasker,Indonesia,1678051676874-6496345977051030883,00000000-0000-0000-0000-000000000000,,,,,,android,,11,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 11; V2149 Build/RP1A.200720.012),,,phone
,,2023-03-05 20:08:51,2023-03-05 20:08:51,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,NB,Gerung,83363,360242,125.164.32.202,True,XL,,English,1678046929842-5690901652997378,c747cd8f-10da-4bb5-b4bf-563d9be0d41f,,,,,,android,,12,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 12; 220333QAG Build/SKQ1.211103.001),,,phone
,,2023-03-05 18:26:13,2023-03-05 18:26:13,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JI,Pagak,67154,360261,36.74.138.197,True,Indosat Ooredoo,,Indonesia,1678040771984-3015449994083355389,787da338-46c6-40f7-9873-ab8ad20a2b51,,,,,,android,,9,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 9; Redmi 8A Pro MIUI/V11.0.4.0.PCQIDXM),,,phone
,,2023-03-05 17:13:14,2023-03-05 17:13:14,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,GO,Kwandang,96252,360133,182.1.136.115,False,Telkomsel,Tsel-PakaiMasker,English,1678036392861-615038108342515444,df890506-03b3-4b13-98ba-f602b136791d,,,,,,android,,13,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 13; SM-G780F Build/TP1A.220624.014),,,phone
,,2023-03-05 13:28:01,2023-03-05 13:28:01,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,LA,Panjang Selatan,35243,360021,114.10.66.209,False,Indosat Ooredoo,Indosat Ooredoo,Indonesia,1678022876340-7147791120651837048,abf7f287-ef97-430e-ae59-ed2a852dc1e3,,,,,,android,,7.1.2,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi 4X MIUI/V11.0.2.0.NAMMIXM),,,phone
,,2023-03-05 13:05:23,2023-03-05 13:05:23,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,RI,Jadirejo,28126,360361,114.125.55.36,False,TELKOMSEL,TELKOMSEL,English,1678021521633-5240522092881689865,6f53a03d-2611-405b-a37c-ef919233f96d,,,,,,android,,11,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 11; vivo 1819 Build/RP1A.200720.012),,,phone
,,2023-03-05 12:13:09,2023-03-05 12:13:09,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JB,Margaasih,40215,360022,116.206.14.23,False,3,3,Indonesia,1678018386834-4622062981975313198,3d2f20a1-526b-4954-a178-c935932cc4e9,,,,,,android,,11,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 11; SM-A305F Build/RP1A.200720.012),,,phone
,,2023-03-05 11:47:13,2023-03-05 11:47:13,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,KI,Balikpapan,76131,360019,114.122.231.200,False,TELKOMSEL,TSEL-PAKAIMASKER,Indonesia,1678016832273-2856069025676607570,31886e61-6f5f-493e-bea5-ea98802c4a55,,,,,,android,,10,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 10; M2006C3MG MIUI/V12.0.14.0.QCRIDXM),,,phone
,,2023-03-05 11:21:35,2023-03-05 11:21:35,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,FL,Christmas,32709,534,66.249.88.91,True,T-Mobile,T-Mobile - US,English,1678015279078-7419629859647294142,2ca7b265-ba21-4d9c-b38f-2bd1b3789f3d,,,,,,android,,11,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 11; OnePlus8Pro Build/QKR1.191246.002),,,phone
,,2023-03-05 11:19:30,2023-03-05 11:19:30,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,GO,Batudaa Pantai,96272,360131,36.85.222.210,True,TELKOMSEL,Tsel-PakaiMasker,Indonesia,1678015171814-7377284921708749691,11de5589-d309-4643-bb99-d50725bcfe32,,,,,,android,,13,0.9.24,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 13; SM-N986B Build/TP1A.220624.014),,,phone
,,2023-03-05 11:17:33,2023-03-05 11:17:33,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,SU,Sekip,20113,360285,114.122.20.87,False,TELKOMSEL,Tsel-PakaiMasker,Indonesia,1678015050622-5881710941895972573,43d9a547-9038-40bf-a2ec-c3ef71119bfd,,,,,,android,,12,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 12; SM-A045F Build/SP1A.210812.016),,,phone
