Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue USD,Event Source,Is Receipt Validated,Partner,Media Source,Channel,Keywords,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Sub Site ID,Sub Param 1,Sub Param 2,Sub Param 3,Sub Param 4,Sub Param 5,Cost Model,Cost Value,Cost Currency,Contributor 1 Partner,Contributor 1 Media Source,Contributor 1 Campaign,Contributor 1 Touch Type,Contributor 1 Touch Time,Contributor 2 Partner,Contributor 2 Media Source,Contributor 2 Campaign,Contributor 2 Touch Type,Contributor 2 Touch Time,Contributor 3 Partner,Contributor 3 Media Source,Contributor 3 Campaign,Contributor 3 Touch Type,Contributor 3 Touch Time,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL,Device Category
click,2023-03-08 19:20:50,2023-03-08 23:50:18,2023-03-08 23:50:18,install,,,,,SDK,,,Facebook Ads,Facebook,,AAA,2.385304407117038e+16,13-65_Indonesia,2.385304407121038e+16,romance_feb2023_animated,2.385304407123038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,KS,Banjarbaru,70714,360035,125.164.99.135,True,Telkomsel,TSEL-PAKAIMASKER,Indonesia,1678319417700-4034183884122122754,2c4ba229-bc8c-42f3-85dc-4075d5ec691f,,,,,,android,,13,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 13; SM-A135F Build/TP1A.220624.014),,,phone
click,2023-03-08 13:55:37,2023-03-08 23:27:41,2023-03-08 23:27:41,install,,,,,SDK,,,Facebook Ads,Facebook,,AAA,2.385304407117038e+16,13-65_Indonesia,2.385304407121038e+16,romance_feb2023_animated,2.385304407123038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,SB,Iv Jurai,25651,360369,36.69.9.91,True,TELKOMSEL,Tsel-PakaiMasker,Bahasa Indonesia,1678318056357-8201110003541392555,e4a10e04-8460-4268-aafc-9e9efa737e2a,,,,,,android,,6.0.1,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 6.0.1; vivo 1606 Build/MMB29M),,,phone
click,2023-03-08 23:23:12,2023-03-08 23:25:42,2023-03-08 23:25:42,install,,,,,SDK,,,Facebook Ads,Facebook,,AAA,2.385304407117038e+16,13-65_Indonesia,2.385304407121038e+16,romance_feb2023_animated,2.385304407123038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,SN,Karampuang,90231,360259,36.83.78.39,True,Telkomsel,Tsel-PakaiMasker,Indonesia,1678317940147-3537878671543201728,3c616896-5e01-4e25-850b-924c1e7f70fa,,,,,,android,,12,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 12; SM-A325F Build/SP1A.210812.016),,,phone
click,2023-03-08 14:26:55,2023-03-08 22:57:51,2023-03-08 22:57:51,install,,,,,SDK,,,Facebook Ads,Facebook,,AAA,2.385304407117038e+16,13-65_Indonesia,2.385304407121038e+16,romance_feb2023_animated,2.385304407123038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,SN,Waetuo,92718,360087,114.125.167.45,False,IND TELKOMSEL,Tsel-PakaiMasker,Indonesia,1678316268071-4337645228408511323,d856857d-b62c-411f-b818-7490dcbf77e9,,,,,,android,,10,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 10; Redmi Note 7 MIUI/V12.5.3.0.QFGMIXM),,,phone
click,2023-03-08 22:47:18,2023-03-08 22:52:30,2023-03-08 22:52:30,install,,,,,SDK,,,Facebook Ads,Facebook,,AAA,2.385304407117038e+16,13-65_Indonesia,2.385304407121038e+16,romance_feb2023_animated,2.385304407123038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JT,Sidomulyo,50514,360410,36.71.84.187,True,Indosat Ooredoo,Indosat Ooredoo,Indonesia,1678315950049-4115805600762814060,92bd1528-7e48-4729-8d49-89091c6f64e4,,,,,,android,,8.1.0,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo 1817 Build/OPM1.171019.026),,,phone
click,2023-03-08 21:27:02,2023-03-08 21:33:49,2023-03-08 21:33:49,install,,,,,SDK,,,Facebook Ads,,,FB-UA-CPI-ID-9Feb23,2.385293858406038e+16,2150-MF-Jawa_Novel_Android,2.385293858407038e+16,romance_feb2023_animated,2.385305598951038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JI,Sumbergedong,66315,360500,140.213.44.39,False,AXIS,AXIS,Indonesia,1678311225879-1679827864959889030,f534546b-1855-4b2a-89d6-28df764b131f,,,,,,android,,11,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 11; RMX3231 Build/RP1A.201005.001),,,phone
click,2023-03-08 20:49:37,2023-03-08 20:50:44,2023-03-08 20:50:44,install,,,,,SDK,,,Facebook Ads,Facebook,,AAA,2.385304407117038e+16,13-65_Indonesia,2.385304407121038e+16,romance_feb2023_animated,2.385304407123038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,KI,Balikpapan,76131,360019,36.83.58.248,True,TELKOMSEL,TSEL-PAKAIMASKER,Indonesia,1678308491344-2402377125974137500,9bec9701-e2c5-45ee-ad52-333337a31147,,,,,,android,,9,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 9; SM-A530F Build/PPR1.180610.011),,,phone
click,2023-03-08 18:07:59,2023-03-08 18:15:54,2023-03-08 18:15:54,install,,,,,SDK,,,Facebook Ads,Facebook,,FB-UA-CPI-ID-9Feb23,2.385293858406038e+16,2150-MF-Jawa_Novel_Android,2.385293858407038e+16,romance_feb2023_animated,2.385305598951038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JI,Dinoyo,65144,360262,114.79.21.238,False,sf.-Stay Safe 4G,sf.-Stay Safe 4G,Indonesia,1678299346644-1224857409645150408,4bd1ce6b-6630-4339-b7f4-8c58d694c992,,,,,,android,,8.1.0,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo 1820 Build/O11019),,,phone
click,2023-03-08 18:04:53,2023-03-08 18:09:29,2023-03-08 18:09:29,install,,,,,SDK,,,googleadwords_int,ACI_Search,,UA- App Install - Jabodetabek,19703625761.0,Romance,144022070617.0,,,ClickToDownload,GoogleSearch,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JK,Cideng,10150,360154,140.213.13.225,False,XL Axiata,XL Axiata,Indonesia,1678298968101-1679623423864704126,24f3624a-59a8-4d52-a266-597e3fe89936,,,,,,android,,12,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 12; CPH2159 Build/SKQ1.210216.001),,,phone
click,2023-03-08 07:26:33,2023-03-08 16:44:27,2023-03-08 16:44:27,install,,,,,SDK,,,Facebook Ads,Facebook,,AAA,2.385304407117038e+16,13-65_Indonesia,2.385304407121038e+16,romance_feb2023_animated,2.385304407123038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,SN,Kampung Baru,91121,360347,180.251.150.86,True,TELKOMSEL,Tsel-PakaiMasker,Indonesia,1678293864753-3772906535489977090,63074c9a-7dbe-46da-a20f-f8c3e8d347e8,,,,,,android,,8.1.0,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo 1808 Build/O11019),,,phone
click,2023-03-08 14:38:49,2023-03-08 15:53:47,2023-03-08 15:53:47,install,,,,,SDK,,,Facebook Ads,Facebook,,AAA,2.385304407117038e+16,13-65_Indonesia,2.385304407121038e+16,romance_feb2023_animated,2.385304407123038e+16,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,NT,Kota Baru,86215,360425,180.249.208.117,True,TELKOMSEL,TELKOMSEL,Indonesia,1678290824675-2268698658721332114,d8a20c88-0227-45e2-916f-e3c224b94c91,,,,,,android,,10,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,7d,,,Dalvik/2.1.0 (Linux; U; Android 10; M2010J19CG MIUI/V12.0.8.0.QJFIDXM),,,phone
