Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue USD,Event Source,Is Receipt Validated,Partner,Media Source,Channel,Keywords,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Sub Site ID,Sub Param 1,Sub Param 2,Sub Param 3,Sub Param 4,Sub Param 5,Cost Model,Cost Value,Cost Currency,Contributor 1 Partner,Contributor 1 Media Source,Contributor 1 Campaign,Contributor 1 Touch Type,Contributor 1 Touch Time,Contributor 2 Partner,Contributor 2 Media Source,Contributor 2 Campaign,Contributor 2 Touch Type,Contributor 2 Touch Time,Contributor 3 Partner,Contributor 3 Media Source,Contributor 3 Campaign,Contributor 3 Touch Type,Contributor 3 Touch Time,Region,Country Code,State,City,Postal Code,DMA,IP,WIFI,Operator,Carrier,Language,AppsFlyer ID,Advertising ID,IDFA,Android ID,Customer User ID,IMEI,IDFV,Platform,Device Type,OS Version,App Version,SDK Version,App ID,App Name,Bundle ID,Is Retargeting,Retargeting Conversion Type,Attribution Lookback,Reengagement Window,Is Primary Attribution,User Agent,HTTP Referrer,Original URL,Device Category
,,2023-03-08 23:42:44,2023-03-08 23:42:44,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,YO,Timbulharjo,55186,360039,114.142.168.11,False,3SinyalKuatHemat,3SinyalKuatHemat,Indonesia,1678318959822-2470205299258341962,0f213d3f-619d-44b7-90d6-471b5bdd1ad6,,,,,,android,,10,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 10; CPH2127 Build/QKQ1.200614.002),,,phone
,,2023-03-08 17:21:06,2023-03-08 17:21:06,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,MU,Jailolo,97752,360140,180.243.37.25,True,TELKOMSEL,Tsel-PakaiMasker,Indonesia,1676032584164-8889650231093752977,200ab49f-158d-45f6-b613-e8a6b553ddaa,,,,,,android,,11,0.9.24,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 11; RMX3263 Build/RP1A.201005.001),,,phone
,,2023-03-08 16:17:36,2023-03-08 16:17:36,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,KI,Muara Badak,75382,360219,114.5.104.208,False,Indosat Ooredoo,INDOSAT,Indonesia,1678292254065-4433953237582274196,ff84fb87-cc23-4b53-9fd4-5ccca19a6053,,,,,,android,,9,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 9; ASUS_X00TD Build/PKQ1),,,phone
,,2023-03-08 15:47:36,2023-03-08 15:47:36,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,LA,Margorejo,34511,360229,114.10.29.181,False,INDOSAT,INDOSAT,Indonesia,1678290455341-4005911049470108257,5fb4a022-56a7-4fe0-ade8-29d3f2a45a4f,,,,,,android,,12,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 12; SM-A715F Build/SP1A.210812.016),,,phone
,,2023-03-08 12:11:53,2023-03-08 12:11:53,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JI,Sawunggaling,60242,360457,114.79.21.130,False,Smartfren,Smartfren,Indonesia,1678277510968-374708399351868342,b1fd98b5-c0c5-4455-a197-d2af3e995a47,,,,,,android,,12,0.9.17,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 12; V2027 Build/SP1A.210812.003),,,phone
,,2023-03-08 11:14:48,2023-03-08 11:14:48,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JB,Lembang,40391,360023,112.215.208.166,False,XL Axiata,XL Axiata,Indonesia,1678274087676-6853636948157057158,56e51764-b23c-44c0-84ca-b2a2050b2d43,,,,,,android,,10,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 10; SM-A515F Build/QP1A.190711.020),,,phone
,,2023-03-08 10:51:18,2023-03-08 10:51:18,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JK,Jagakarsa,12620,360155,114.4.213.66,False,Indosat Ooredoo,Indosat Ooredoo,Indonesia,1678272676455-2145184852548722096,aa52ba87-1da7-45f1-a300-4081738dda13,,,,,,android,,12,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 12; CPH2235 Build/SKQ1.210216.001),,,phone
,,2023-03-08 08:46:08,2023-03-08 08:46:08,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,CA,Los Angeles,90011,803,35.243.2.28,True,Android,Android Virtual Operator,English,1678265164158-7945539333828306881,07b622e6-1eec-44f9-9190-10ca1ad1abe1,,,,,,android,,9,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 9; GCE x86 phone Build/PGR1.190916.001),,,phone
,,2023-03-08 07:29:04,2023-03-08 07:29:04,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JB,Jatiwangi,17530,360257,182.2.142.106,False,,,English,1678260544533-3126029404425419637,55858810-42c3-477e-83ba-60ab6a655444,,,,,,android,,10,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 10; SM-N960F Build/QP1A.190711.020),,,phone
,,2023-03-08 06:25:32,2023-03-08 06:25:32,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,YO,Purbayan,55173,360514,103.65.214.14,True,XL Axiata,XL Axiata,Indonesia,1678256730943-7949153044641755216,eb765278-7f2a-45cb-b086-d84a18bbfbe8,,,,,,android,,8.1.0,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 8.1.0; CPH1825 Build/O11019),,,phone
,,2023-03-08 06:03:28,2023-03-08 06:03:28,install,,,,,SDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS,ID,JB,Garuda,40184,360024,103.147.9.59,True,,,Indonesia,1678255407153-2733676835230651140,e8905b12-0ef0-4501-bfa7-772fb6922383,,,,,,android,,11,0.9.29,v6.9.4,id.gooddreamer.novel,GoodDreamer - Android,id.gooddreamer.novel,False,,,,,Dalvik/2.1.0 (Linux; U; Android 11; 21061119AG Build/RP1A.200720.011),,,phone
